company_name,country,registration_number,industry,description,website,facility_count,source,extracted_at
Morocco Industrial Group 23 SPA,Morocco,MO-931816,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company23.com,1,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 24 LDA,Morocco,MO-538230,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company24.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 25 LDA,Morocco,MO-787760,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company25.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 26 Ltd,Morocco,MO-975531,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company26.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 27 SARL,Morocco,MO-463058,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company27.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 28 SARL,Morocco,MO-836356,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company28.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 29 SPA,Morocco,MO-203864,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company29.com,3,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 30 SPA,Morocco,MO-670229,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company30.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 31 SARL,Morocco,MO-715763,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company31.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 32 Ltd,Morocco,MO-918942,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company32.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 33 Company,Morocco,MO-736435,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company33.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 34 SA,Morocco,MO-866264,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company34.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 35 Ltd,Morocco,MO-243426,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company35.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 36 Ltd,Morocco,MO-754961,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company36.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 37 SARL,Morocco,MO-637068,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company37.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 38 SPA,Morocco,MO-731408,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company38.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 39 SPA,Morocco,MO-887917,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company39.com,3,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 40 LDA,Morocco,MO-503484,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company40.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 41 LDA,Morocco,MO-748703,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company41.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 42 SA,Morocco,MO-439501,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company42.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 43 LDA,Morocco,MO-665091,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company43.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 44 SA,Morocco,MO-482070,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company44.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 45 Company,Morocco,MO-419460,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company45.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 46 Ltd,Morocco,MO-334799,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company46.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 47 SARL,Morocco,MO-737695,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company47.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 48 Company,Morocco,MO-742785,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company48.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 49 SA,Morocco,MO-815587,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company49.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 50 SPA,Morocco,MO-599369,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company50.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 51 Ltd,Morocco,MO-312509,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company51.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 52 Ltd,Morocco,MO-657321,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company52.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 53 Company,Morocco,MO-694738,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company53.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 54 SA,Morocco,MO-254299,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company54.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 55 SA,Morocco,MO-959194,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company55.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 56 Ltd,Morocco,MO-300595,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company56.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 57 Company,Morocco,MO-215816,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company57.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 58 SPA,Morocco,MO-616775,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company58.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 59 SA,Morocco,MO-653394,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company59.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 60 SPA,Morocco,MO-587021,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company60.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 61 SPA,Morocco,MO-566376,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company61.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 62 SARL,Morocco,MO-329571,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company62.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 63 SA,Morocco,MO-943144,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company63.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 64 SA,Morocco,MO-540110,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company64.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 65 SPA,Morocco,MO-471466,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company65.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 66 LDA,Morocco,MO-301234,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company66.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 67 Company,Morocco,MO-778174,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company67.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 68 Ltd,Morocco,MO-832810,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company68.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 69 SPA,Morocco,MO-726158,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company69.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 70 SARL,Morocco,MO-851313,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company70.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 71 Ltd,Morocco,MO-129624,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company71.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 72 SPA,Morocco,MO-656487,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company72.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 73 Ltd,Morocco,MO-520511,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company73.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 74 LDA,Morocco,MO-139824,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company74.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 75 LDA,Morocco,MO-891220,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company75.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 76 Company,Morocco,MO-748954,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company76.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 77 SPA,Morocco,MO-166928,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company77.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 78 SA,Morocco,MO-545291,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company78.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 79 SARL,Morocco,MO-166750,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company79.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 80 LDA,Morocco,MO-165952,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company80.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 81 LDA,Morocco,MO-334200,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company81.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 82 Company,Morocco,MO-552981,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company82.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 83 Ltd,Morocco,MO-164911,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company83.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 84 LDA,Morocco,MO-830378,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company84.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 85 SPA,Morocco,MO-506484,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company85.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 86 SPA,Morocco,MO-302019,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company86.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 87 SPA,Morocco,MO-399617,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company87.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 88 SPA,Morocco,MO-240249,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company88.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 89 SARL,Morocco,MO-392045,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company89.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 90 Company,Morocco,MO-380765,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company90.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 91 Company,Morocco,MO-790449,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company91.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 92 LDA,Morocco,MO-603652,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company92.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 93 SPA,Morocco,MO-550066,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company93.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 94 SARL,Morocco,MO-549775,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company94.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 95 SARL,Morocco,MO-952780,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company95.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 96 Company,Morocco,MO-463236,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company96.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 97 SARL,Morocco,MO-778408,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company97.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 98 Company,Morocco,MO-228337,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company98.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 99 LDA,Morocco,MO-749947,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company99.com,1,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 100 Ltd,Morocco,MO-251798,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company100.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 101 Ltd,Morocco,MO-226464,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company101.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 102 Ltd,Morocco,MO-589831,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company102.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 103 Ltd,Morocco,MO-480410,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company103.com,3,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 104 SARL,Morocco,MO-778016,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company104.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 105 SA,Morocco,MO-379985,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company105.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 106 SA,Morocco,MO-117008,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company106.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 107 LDA,Morocco,MO-885055,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company107.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 108 SARL,Morocco,MO-800483,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company108.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 109 SA,Morocco,MO-154902,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company109.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 110 Ltd,Morocco,MO-258063,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company110.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 111 SARL,Morocco,MO-628579,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company111.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 112 SA,Morocco,MO-684531,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company112.com,2,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 113 LDA,Morocco,MO-589951,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company113.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 114 Ltd,Morocco,MO-829749,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company114.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 115 SARL,Morocco,MO-669325,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company115.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 116 LDA,Morocco,MO-777659,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company116.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 117 SPA,Morocco,MO-775022,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company117.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 118 Ltd,Morocco,MO-586095,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company118.com,11,OpenSupplyHub (synthetic),2025-12-24T11:58:00.761622
Morocco Industrial Group 119 SA,Morocco,MO-930388,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company119.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 120 SARL,Morocco,MO-470119,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company120.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 121 Ltd,Morocco,MO-909541,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company121.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 122 Company,Morocco,MO-707883,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company122.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 123 Ltd,Morocco,MO-404163,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company123.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 124 SARL,Morocco,MO-962049,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company124.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 125 SARL,Morocco,MO-834731,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company125.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 126 SA,Morocco,MO-216990,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company126.com,1,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 127 SARL,Morocco,MO-731981,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company127.com,3,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 128 LDA,Morocco,MO-211885,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company128.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 129 SPA,Morocco,MO-937397,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company129.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 130 SPA,Morocco,MO-818364,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company130.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 131 Company,Morocco,MO-327790,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company131.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 132 SA,Morocco,MO-467423,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company132.com,10,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 133 SPA,Morocco,MO-537557,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company133.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
Morocco Industrial Group 134 SA,Morocco,MO-208560,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company134.com,1,OpenSupplyHub (synthetic),2025-12-24T11:58:00.762597
